Indicator,Group,Subgroup,Year,Value
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,2020,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,70 - 79 years,2020,18.366666666666667
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,2020,24.477777777777778
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,2020,24.688888888888886
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,2020,26.200000000000003
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,80 years and above,2020,13.844444444444443
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,2020,24.055555555555557
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,2020,25.799999999999997
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,2020,25.38888888888889
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,2020,28.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,2020,23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,2020,27.98888888888889
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,2020,26.98888888888889
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,Bachelor's degree or higher,2020,20.055555555555557
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,2020,28.03333333333333
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,2020,25.866666666666667
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,2020,26.355555555555554
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,High school diploma or GED,2020,19.255555555555556
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,2020,25.977777777777778
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,2020,23.200000000000003
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,2020,21.62222222222222
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,60 - 69 years,2020,20.91111111111111
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,2020,24.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,2020,21.700000000000003
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,2020,23.788888888888888
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,2020,29.144444444444446
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,2020,25.566666666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,2020,23.799999999999997
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,2020,23.755555555555556
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,2020,28.28888888888889
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,2020,28.366666666666667
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,2020,21.48888888888889
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,18 - 29 years,2020,19.322222222222223
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,2020,25.077777777777776
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,2020,25.955555555555556
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,2020,22.87777777777778
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,30 - 39 years,2020,20.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,2020,27.62222222222222
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,2020,25.322222222222223
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,2020,26.62222222222222
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,40 - 49 years,2020,21.177777777777777
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,2020,26.38888888888889
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,2020,25.08888888888889
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,2020,21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,50 - 59 years,2020,22.366666666666667
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,2020,24.366666666666667
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,2020,24.477777777777774
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,2020,10.81111111111111
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,Less than a high school diploma,2020,18.077777777777776
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,2020,23.688888888888886
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,Some college/Associate's degree,2020,25.744444444444444
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,Less than a high school diploma,2020,20.61111111111111
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,High school diploma or GED,2020,20.933333333333334
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020,23.044444444444444
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,Bachelor's degree or higher,2020,25.077777777777776
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,Female,2020,25.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,80 years and above,2020,15.366666666666667
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,70 - 79 years,2020,19.48888888888889
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,60 - 69 years,2020,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,Male,2020,15.066666666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,50 - 59 years,2020,25.055555555555557
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,40 - 49 years,2020,24.922222222222224
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,30 - 39 years,2020,25.799999999999997
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,18 - 29 years,2020,24.344444444444445
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,2020,9.533333333333333
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,2020,8.11111111111111
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,2020,8.766666666666667
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,2020,8.377777777777778
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,2020,10.555555555555555
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,2020,10.166666666666666
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,2020,24.322222222222223
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020,23.08888888888889
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020,14.88888888888889
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,2020,14.41111111111111
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,2020,38.31111111111111
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,2020,21.555555555555557
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,Some college/Associate's degree,2020,22.61111111111111
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,2020,26.644444444444446
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,2020,24.77777777777778
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,2020,25.166666666666668
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,2020,24.944444444444443
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,2020,21.022222222222226
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,2020,27.266666666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,2020,22.066666666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,2020,21.01111111111111
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,2020,15.655555555555557
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,2020,26.555555555555557
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,2020,33.68888888888889
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,Male,2020,17.766666666666666
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,Female,2020,29.233333333333334
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020,26.844444444444445
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,2020,16.311111111111114
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020,26.299999999999997
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020,18.444444444444443
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020,11.866666666666667
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020,8.822222222222221
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,2020,19.677777777777777
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,2020,12.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,2020,10.933333333333334
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,2020,9.177777777777777
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,2020,10.622222222222222
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,2020,27.155555555555555
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020,6.455555555555556
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,2020,11.488888888888889
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,2020,10.122222222222222
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,2020,11.433333333333334
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,2020,11.288888888888888
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,Bachelor's degree or higher,2020,10.566666666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,2020,10.955555555555556
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,2020,20.544444444444444
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,2020,7.155555555555556
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,2020,10.588888888888889
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,2020,2.911111111111111
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,2020,8.044444444444444
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,2020,10.622222222222222
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,2020,22.41111111111111
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,2020,21.577777777777776
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020,11.288888888888888
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,2020,22.311111111111114
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,2020,20.977777777777778
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,2020,10.633333333333333
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,Male,2020,8.11111111111111
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,2020,11.322222222222223
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,2020,8.355555555555556
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,2020,9.477777777777778
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,2020,21.51111111111111
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,2020,11.933333333333334
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,2020,10.588888888888889
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,2020,21.711111111111112
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,2020,11.433333333333334
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,2020,18.644444444444446
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,High school diploma or GED,2020,8.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,Some college/Associate's degree,2020,13.066666666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,2020,11.0
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020,15.866666666666665
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,2020,9.011111111111113
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,2020,10.566666666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,Less than a high school diploma,2020,10.344444444444443
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,2020,24.166666666666668
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,2020,10.577777777777778
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,2020,23.144444444444442
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,2020,10.022222222222222
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,2020,17.211111111111112
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,2020,7.111111111111111
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,2020,18.055555555555557
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,2020,9.944444444444445
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,2020,8.844444444444443
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,2020,22.533333333333335
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,2020,24.12222222222222
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,2020,22.577777777777776
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,2020,10.944444444444445
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,40 - 49 years,2020,11.533333333333333
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,2020,10.61111111111111
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,50 - 59 years,2020,9.022222222222222
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,2020,24.544444444444444
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,2020,9.61111111111111
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,30 - 39 years,2020,15.166666666666666
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,2020,10.866666666666667
