Indicator,Group,Subgroup,Time Period Label,Time Period Start Date,Time Period End Date,Value
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,15.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,16.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.7
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,18 - 29 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.2
"Received Counseling or Therapy, Last 4 Weeks",By Age,30 - 39 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,11.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,40 - 49 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.0
"Received Counseling or Therapy, Last 4 Weeks",By Age,50 - 59 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,60 - 69 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,5.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,70 - 79 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,4.1
"Received Counseling or Therapy, Last 4 Weeks",By Age,80 years and above,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,3.0
"Received Counseling or Therapy, Last 4 Weeks",By Sex,Male,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.7
"Received Counseling or Therapy, Last 4 Weeks",By Sex,Female,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.6
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,4.8
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,15.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.3
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.4
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.2
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,Less than a high school diploma,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.1
"Received Counseling or Therapy, Last 4 Weeks",By Education,High school diploma or GED,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,Some college/Associate's degree,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.7
"Received Counseling or Therapy, Last 4 Weeks",By Education,Bachelor's degree or higher,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,11.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.1
"Received Counseling or Therapy, Last 4 Weeks",By State,California,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,11.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,5.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.7
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.5
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.9
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,4.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,13.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,13.5
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,5.4
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,6.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,11.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,10.3
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,5.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,7.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,5.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,18 - 29 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,30 - 39 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,40 - 49 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,50 - 59 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,60 - 69 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,70 - 79 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,80 years and above,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,14.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,Male,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,16.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,Female,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,28.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,13.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,37.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,15.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,11.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,Less than a high school diploma,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,High school diploma or GED,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,Some college/Associate's degree,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,Bachelor's degree or higher,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,25.0
